Iterations,Seconds,Score
406110000,1746737593,1.496094
406120000,1746737593,1.496094
406130000,1746737593,1.496094
406140000,1746737594,1.496094
406150000,1746737594,1.496094
406160000,1746737595,1.496094
406170000,1746737595,1.496094
406180000,1746737596,1.496094
406190000,1746737596,1.496094
406200000,1746737597,1.496094
406210000,1746737597,1.496094
406220000,1746737597,1.496094
406230000,1746737598,1.496094
406240000,1746737598,1.496094
406250000,1746737599,1.496094
406260000,1746737599,1.496094
406270000,1746737600,1.496094
406280000,1746737600,1.496094
406290000,1746737601,1.496094
406300000,1746737601,1.496094
406310000,1746737602,1.496094
406320000,1746737602,1.496094
406330000,1746737602,1.496094
406340000,1746737603,1.496094
406350000,1746737603,1.496094
406360000,1746737604,1.496094
406370000,1746737604,1.496094
406380000,1746737605,1.496094
406390000,1746737605,1.496094
406400000,1746737606,1.496094
406410000,1746737606,1.496094
406420000,1746737607,1.496094
406430000,1746737607,1.496094
406440000,1746737607,1.496094
406450000,1746737608,1.496094
406460000,1746737608,1.496094
406470000,1746737609,1.496094
406480000,1746737609,1.496094
406490000,1746737610,1.496094
406500000,1746737610,1.496094
406510000,1746737610,1.496094
406520000,1746737611,1.496094
406530000,1746737611,1.496094
406540000,1746737612,1.496094
406550000,1746737612,1.496094
406560000,1746737613,1.496094
406570000,1746737613,1.496094
406580000,1746737614,1.496094
406590000,1746737614,1.496094
406600000,1746737615,1.496094
406610000,1746737615,1.496094
406620000,1746737615,1.496094
406630000,1746737616,1.496094
406640000,1746737616,1.496094
406650000,1746737617,1.496094
406660000,1746737617,1.496094
406670000,1746737618,1.496094
406680000,1746737618,1.496094
406690000,1746737619,1.496094
406700000,1746737619,1.496094
406710000,1746737619,1.496094
406720000,1746737620,1.496094
406730000,1746737620,1.496094
406740000,1746737621,1.496094
406750000,1746737621,1.496094
406760000,1746737622,1.496094
406770000,1746737622,1.496094
406780000,1746737623,1.496094
406790000,1746737623,1.496094
406800000,1746737623,1.496094
406810000,1746737624,1.496094
406820000,1746737624,1.496094
406830000,1746737625,1.496094
406840000,1746737625,1.496094
406850000,1746737626,1.496094
406860000,1746737626,1.496094
406870000,1746737626,1.496094
406880000,1746737627,1.496094
406890000,1746737627,1.496094
406900000,1746737628,1.496094
406910000,1746737628,1.496094
406920000,1746737629,1.496094
406930000,1746737629,1.496094
406940000,1746737630,1.496094
406950000,1746737630,1.496094
406960000,1746737630,1.496094
406970000,1746737631,1.496094
406980000,1746737631,1.496094
406990000,1746737632,1.496094
407000000,1746737632,1.496094
407010000,1746737633,1.496094
407020000,1746737633,1.496094
407030000,1746737634,1.496094
407040000,1746737634,1.496094
407050000,1746737634,1.496094
407060000,1746737635,1.496094
407070000,1746737635,1.496094
407080000,1746737636,1.496094
407090000,1746737636,1.496094
407100000,1746737637,1.496094
407110000,1746737637,1.496094
407120000,1746737638,1.496094
407130000,1746737638,1.496094
407140000,1746737639,1.496094
407150000,1746737639,1.496094
407160000,1746737639,1.496094
407170000,1746737640,1.496094
407180000,1746737640,1.496094
407190000,1746737641,1.496094
407200000,1746737641,1.496094
407210000,1746737642,1.496094
407220000,1746737642,1.496094
407230000,1746737643,1.496094
407240000,1746737643,1.496094
